quarter,n_claims,avg_severity,total_paid,year,quarter_dt,deflator,avg_severity_real,total_paid_real
1978Q1,14116,3801.3344070558232,53659636.49,1978,1978-01-01,4.9371165644171775,18767.631067964256,264923880.15538344
1978Q2,12695,4295.555914927137,54532082.34,1978,1978-04-01,4.9371165644171775,21207.66026096695,269231247.01297545
1978Q3,5706,4058.9577252015424,23160412.78,1978,1978-07-01,4.9371165644171775,20039.547419361603,114345657.57487729
1978Q4,3380,4842.343571005917,16367121.27,1978,1978-10-01,4.9371165644171775,23907.214655012336,80806385.53394172
1979Q1,22789,3056.2487112203253,69648851.88,1979,1979-01-01,4.433884297520661,13551.053169997558,308814950.6910744
1979Q2,24743,4465.672959624944,110494146.04,1979,1979-04-01,4.433884297520661,19800.277213543657,489918259.0947108
1979Q3,37631,7879.108087481066,296498716.44,1979,1979-07-01,4.433884297520661,34935.05362755035,1314641003.0583472
1979Q4,2212,3001.5844936708863,6639504.9,1979,1979-10-01,4.433884297520661,13308.678354168847,29438796.51942149
1980Q1,8229,3395.929798274395,27945106.31,1980,1980-01-01,3.906553398058252,13266.381093016113,109169050.01442958
1980Q2,27865,4956.914572761529,138124424.57,1980,1980-04-01,3.906553398058252,19364.451468106017,539590440.1587741
1980Q3,11435,4087.517972015741,46740768.01,1980,1980-07-01,3.906553398058252,15968.107223202269,182595306.09731793
1980Q4,5698,3089.504327834328,17603995.66,1980,1980-10-01,3.906553398058252,12069.313630216868,68770949.06497572
1981Q1,3000,2622.14512,7866435.36,1981,1981-01-01,3.5412541254125407,9285.682223630361,27857046.670891088
1981Q2,14242,4885.218526190142,69575282.25,1981,1981-04-01,3.5412541254125407,17299.800259412612,246383755.2945544
1981Q3,9691,3314.875185223403,32124455.42,1981,1981-07-01,3.5412541254125407,11738.815424900036,113760860.28270626
1981Q4,4241,4138.613152558359,17551858.38,1981,1981-10-01,3.5412541254125407,14655.88089998389,62155590.89683167
1982Q1,9007,4075.2570833795935,36705840.55,1982,1982-01-01,3.335751295336787,13594.044094713896,122441555.16108806
1982Q2,17611,4111.874281982852,72414217.98,1982,1982-04-01,3.335751295336787,13716.189962386321,241555821.42758548
1982Q3,4690,4679.484663113007,21946783.07,1982,1982-07-01,3.335751295336787,15609.597026487842,73209010.05422798
1982Q4,11798,5698.336893541278,67228978.67,1982,1982-10-01,3.335751295336787,19008.234673895724,224259152.68262175
1983Q1,10458,4114.268067508128,43027015.45,1983,1983-01-01,3.2319277108433733,13297.016977217534,139060203.54774097
1983Q2,34720,6059.460138248848,210384456.0,1983,1983-04-01,3.2319277108433733,19583.73713355727,679947353.2771084
1983Q3,20425,8024.899464871481,163908571.57,1983,1983-07-01,3.2319277108433733,25935.894957250297,529740654.5018373
1983Q4,4843,4570.492223828206,22134893.84,1983,1983-10-01,3.2319277108433733,14771.500470384532,71538376.77807228
1984Q1,11814,3304.34364736753,39037515.85,1984,1984-01-01,3.098171318575553,10237.422714991413,120944911.95490855
1984Q2,18624,8857.199134987113,164956476.69,1984,1984-04-01,3.098171318575553,27441.12032292927,511063424.8942347
1984Q3,3985,4133.479761606022,16471916.85,1984,1984-07-01,3.098171318575553,12806.228443320291,51032820.34663136
1984Q4,4807,7109.832485957978,34176964.76,1984,1984-10-01,3.098171318575553,22027.47908787173,105886091.97539939
1985Q1,7368,3829.3315160152006,28214514.61,1985,1985-01-01,2.991635687732342,11455.964823469265,84407548.81932156
1985Q2,2650,3369.6800264150943,8929652.07,1985,1985-04-01,2.991635687732342,10080.855023262257,26714265.81164498
1985Q3,23354,5776.824867688619,134911967.96,1985,1985-07-01,2.991635687732342,17282.155435956935,403607458.05133826
1985Q4,18933,10361.94261712354,196182659.57,1985,1985-10-01,2.991635687732342,30999.15732762144,586907045.6838568
1986Q1,5105,8794.285778648384,44894828.9,1986,1986-01-01,2.937043795620438,25829.20248309229,131858078.67618613
1986Q2,4055,4742.932508014796,19232591.32,1986,1986-04-01,2.937043795620438,13930.200495711342,56486963.01010949
1986Q3,3547,5758.903326755005,20426830.1,1986,1986-07-01,2.937043795620438,16914.151285423686,59994494.60939781
1986Q4,6076,6884.464280776827,41830004.97,1986,1986-10-01,2.937043795620438,20219.973102026102,122856556.56791058
1987Q1,6346,3878.021391427671,24609923.75,1987,1987-01-01,2.83362676056338,10988.865192786683,69735338.51342429
1987Q2,5697,5873.659822713709,33462240.01,1987,1987-04-01,2.83362676056338,16643.759656087524,94819498.76073062
1987Q3,4178,7299.887254667305,30498928.95,1987,1987-07-01,2.83362676056338,20685.15587392082,86422581.24124119
1987Q4,2503,6741.210954854175,16873251.02,1987,1987-10-01,2.83362676056338,19102.075760277807,47812495.627975345
