quarter,n_claims,avg_severity,total_paid
1978Q1,14116,3801.3344070558232,53659636.49
1978Q2,12695,4295.555914927137,54532082.34
1978Q3,5706,4058.9577252015424,23160412.78
1978Q4,3380,4842.343571005917,16367121.27
1979Q1,22789,3056.2487112203253,69648851.88
1979Q2,24743,4465.672959624944,110494146.04
1979Q3,37631,7879.108087481066,296498716.44
1979Q4,2212,3001.5844936708863,6639504.90
1980Q1,8229,3395.929798274395,27945106.31
1980Q2,27865,4956.914572761529,138124424.57
1980Q3,11435,4087.517972015741,46740768.01
1980Q4,5698,3089.504327834328,17603995.66
1981Q1,3000,2622.14512,7866435.36
1981Q2,14242,4885.218526190142,69575282.25
1981Q3,9691,3314.875185223403,32124455.42
1981Q4,4241,4138.613152558359,17551858.38
1982Q1,9007,4075.2570833795935,36705840.55
1982Q2,17611,4111.874281982852,72414217.98
1982Q3,4690,4679.484663113007,21946783.07
1982Q4,11798,5698.336893541278,67228978.67
1983Q1,10458,4114.268067508128,43027015.45
1983Q2,34720,6059.460138248848,210384456.00
1983Q3,20425,8024.899464871481,163908571.57
1983Q4,4843,4570.492223828206,22134893.84
1984Q1,11814,3304.34364736753,39037515.85
1984Q2,18624,8857.199134987113,164956476.69
1984Q3,3985,4133.479761606022,16471916.85
1984Q4,4807,7109.832485957978,34176964.76
1985Q1,7368,3829.3315160152006,28214514.61
1985Q2,2650,3369.6800264150943,8929652.07
1985Q3,23354,5776.824867688619,134911967.96
1985Q4,18933,10361.942617123541,196182659.57
1986Q1,5105,8794.285778648384,44894828.90
1986Q2,4055,4742.932508014796,19232591.32
1986Q3,3547,5758.903326755005,20426830.10
1986Q4,6076,6884.464280776827,41830004.97
1987Q1,6346,3878.021391427671,24609923.75
1987Q2,5697,5873.659822713709,33462240.01
1987Q3,4178,7299.887254667305,30498928.95
1987Q4,2503,6741.210954854175,16873251.02
1988Q1,1301,6021.626425826288,7834135.98
1988Q2,4707,4398.465729764182,20703578.19
1988Q3,3980,3977.1115201005023,15828903.85
1988Q4,1737,3831.8396430627517,6655905.46
1989Q1,2459,7153.9454575030495,17591551.88
1989Q2,13861,10418.776670514393,144414663.43
1989Q3,25223,17449.710713237917,440134053.32
1989Q4,7081,8405.194468295438,59517182.03
1990Q1,4328,10510.967444547136,45491467.10
1990Q2,8253,8854.650993578094,73077434.65
1990Q3,1719,4805.330779522978,8260363.61
